epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4203,1.54313,2.68377,1.64406,0.4515,0.32069,0.31912,0.15751,1.81289,2.9802,1.93677,0.000412946,0.000412946,0.000412946
2,28.8045,1.54963,2.0243,1.62532,0.43666,0.31435,0.2869,0.13074,1.88784,3.08595,2.16231,0.000813187,0.000813187,0.000813187
3,42.0886,1.56,1.90356,1.6234,0.50015,0.3121,0.31091,0.13966,2.10752,3.0068,2.20933,0.00119693,0.00119693,0.00119693
4,55.1984,1.54705,1.82841,1.63446,0.45015,0.41985,0.41277,0.19369,1.84317,2.44377,2.14147,0.00117575,0.00117575,0.00117575
5,68.3884,1.54635,1.70503,1.62235,0.55539,0.46407,0.49171,0.24558,1.74233,2.04632,1.92802,0.001151,0.001151,0.001151
6,82.811,1.49547,1.59204,1.58209,0.58975,0.51381,0.54937,0.30128,1.70867,1.85566,1.91789,0.00112625,0.00112625,0.00112625
7,96.1401,1.4774,1.53109,1.57391,0.64923,0.57225,0.60987,0.32843,1.61839,1.71347,1.83368,0.0011015,0.0011015,0.0011015
8,109.451,1.42057,1.42624,1.5203,0.76895,0.54384,0.65096,0.3797,1.53461,1.43642,1.7362,0.00107675,0.00107675,0.00107675
9,122.742,1.3998,1.38372,1.51702,0.75264,0.57751,0.67557,0.39513,1.52468,1.39498,1.67595,0.001052,0.001052,0.001052
10,136.045,1.40614,1.3323,1.50248,0.75862,0.60988,0.69356,0.40539,1.49775,1.31707,1.67315,0.00102725,0.00102725,0.00102725
11,149.402,1.37125,1.30577,1.48392,0.68673,0.56067,0.61608,0.33057,1.63208,1.57435,1.77937,0.0010025,0.0010025,0.0010025
12,162.75,1.38258,1.26452,1.49329,0.78179,0.63338,0.72425,0.42044,1.50184,1.23377,1.64917,0.00097775,0.00097775,0.00097775
13,176.193,1.35027,1.24219,1.47603,0.7205,0.61054,0.66051,0.37202,1.60061,1.38934,1.73325,0.000953,0.000953,0.000953
14,189.594,1.35704,1.21217,1.46389,0.76106,0.66167,0.70569,0.42112,1.4471,1.27098,1.62175,0.00092825,0.00092825,0.00092825
15,203.125,1.31438,1.20966,1.4525,0.77726,0.67331,0.73647,0.43783,1.44295,1.1529,1.62927,0.0009035,0.0009035,0.0009035
16,216.62,1.29846,1.17212,1.4466,0.77232,0.64056,0.70907,0.41089,1.49503,1.20375,1.65076,0.00087875,0.00087875,0.00087875
17,230.055,1.27666,1.14968,1.41683,0.81626,0.66164,0.76013,0.45146,1.43859,1.10794,1.60956,0.000854,0.000854,0.000854
18,243.601,1.29861,1.12081,1.4245,0.79036,0.67442,0.74072,0.44935,1.42352,1.06799,1.59904,0.00082925,0.00082925,0.00082925
19,257.086,1.26996,1.10871,1.40802,0.79955,0.69046,0.75474,0.4586,1.4056,1.0167,1.59168,0.0008045,0.0008045,0.0008045
20,270.518,1.28106,1.07607,1.413,0.81656,0.70529,0.76663,0.46888,1.44338,1.03251,1.5734,0.00077975,0.00077975,0.00077975
21,283.99,1.24974,1.04953,1.3852,0.72364,0.68105,0.74235,0.45599,1.40084,1.1049,1.55578,0.000755,0.000755,0.000755
22,297.547,1.22958,1.05556,1.38237,0.80312,0.6599,0.75341,0.48325,1.33572,1.01095,1.53479,0.00073025,0.00073025,0.00073025
23,311.188,1.23189,1.02652,1.37734,0.75905,0.7203,0.7649,0.45807,1.39652,1.03133,1.55923,0.0007055,0.0007055,0.0007055
24,324.695,1.24388,1.04208,1.38282,0.78865,0.67428,0.74422,0.46191,1.38501,1.02972,1.56434,0.00068075,0.00068075,0.00068075
25,338.313,1.19676,0.99312,1.35352,0.80379,0.69766,0.75854,0.46901,1.34143,0.95698,1.52729,0.000656,0.000656,0.000656
26,351.852,1.18558,0.96074,1.34224,0.79251,0.70973,0.77277,0.48335,1.32798,0.96449,1.51636,0.00063125,0.00063125,0.00063125
27,365.693,1.18628,0.95709,1.35718,0.75924,0.71266,0.75927,0.4882,1.33036,0.95634,1.51637,0.0006065,0.0006065,0.0006065
28,379.337,1.17778,0.94918,1.33504,0.78266,0.73327,0.77146,0.49073,1.31747,0.9195,1.52064,0.00058175,0.00058175,0.00058175
29,393.595,1.17243,0.94693,1.34725,0.82402,0.6905,0.77418,0.48855,1.32917,0.93207,1.52076,0.000557,0.000557,0.000557
30,408.32,1.12933,0.90257,1.3101,0.83644,0.70807,0.77391,0.48891,1.34032,0.9231,1.52176,0.00053225,0.00053225,0.00053225
31,422.655,1.14413,0.90088,1.32326,0.78984,0.73752,0.79131,0.5071,1.32043,0.89596,1.50422,0.0005075,0.0005075,0.0005075
32,436.459,1.1567,0.91027,1.32377,0.82575,0.70093,0.77708,0.49066,1.36027,0.91662,1.54121,0.00048275,0.00048275,0.00048275
33,449.965,1.14,0.89464,1.31696,0.82655,0.69794,0.78455,0.50039,1.29587,0.90721,1.47528,0.000458,0.000458,0.000458
34,463.205,1.14974,0.87466,1.32379,0.77291,0.74154,0.78524,0.49746,1.32444,0.90625,1.50585,0.00043325,0.00043325,0.00043325
35,476.781,1.13239,0.87634,1.29805,0.80557,0.72896,0.79155,0.50744,1.31251,0.866,1.49685,0.0004085,0.0004085,0.0004085
36,490.627,1.11528,0.85231,1.29757,0.81911,0.72649,0.78622,0.50375,1.30909,0.88168,1.51159,0.00038375,0.00038375,0.00038375
37,504.654,1.0728,0.82381,1.28084,0.83907,0.7286,0.80078,0.51972,1.27967,0.86826,1.47024,0.000359,0.000359,0.000359
38,518.596,1.10833,0.84346,1.29425,0.78637,0.75471,0.78919,0.51205,1.27583,0.83865,1.4612,0.00033425,0.00033425,0.00033425
39,532.245,1.07972,0.80598,1.2751,0.83903,0.72105,0.80719,0.52328,1.29414,0.83152,1.49307,0.0003095,0.0003095,0.0003095
40,546.246,1.09251,0.81812,1.28518,0.83296,0.72236,0.80346,0.52119,1.27812,0.83739,1.47418,0.00028475,0.00028475,0.00028475
41,584.197,1.0496,0.71899,1.28108,0.80146,0.72386,0.79191,0.52115,1.27548,0.83938,1.47892,0.00026,0.00026,0.00026
42,597.215,1.02539,0.69839,1.27385,0.82802,0.76373,0.82456,0.53478,1.26096,0.80894,1.44971,0.00023525,0.00023525,0.00023525
43,610.38,1.0022,0.67561,1.2514,0.82788,0.74706,0.79972,0.52387,1.25575,0.8086,1.46332,0.0002105,0.0002105,0.0002105
44,623.588,0.99223,0.66273,1.25391,0.80926,0.75581,0.80269,0.53256,1.24219,0.78702,1.46247,0.00018575,0.00018575,0.00018575
45,637.254,0.98341,0.64889,1.24041,0.82771,0.77518,0.82173,0.53548,1.25029,0.78606,1.45224,0.000161,0.000161,0.000161
46,650.635,0.96455,0.64041,1.2287,0.84004,0.75856,0.81711,0.54343,1.22691,0.78679,1.43539,0.00013625,0.00013625,0.00013625
47,663.879,0.95224,0.6233,1.22359,0.82764,0.76166,0.81384,0.54031,1.22071,0.78487,1.44642,0.0001115,0.0001115,0.0001115
48,677.066,0.95192,0.63077,1.21595,0.85167,0.74088,0.81571,0.53824,1.22625,0.77417,1.4398,8.675e-05,8.675e-05,8.675e-05
